title,episodes,rating,ratings_given,start_year,end_year,genres
Louie,61,8.5,83000.0,2010,2015,"['Comedy', 'Drama']"
Sons of Anarchy,92,8.6,333000.0,2008,2014,"['Crime', 'Drama', 'Thriller']"
Regular Show,244,8.5,63000.0,2010,2017,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']"
Through the Wormhole,62,8.6,19000.0,2010,2017,['Documentary']
The Office,14,8.5,126000.0,2001,2003,['Comedy']
Derry Girls,19,8.5,65000.0,2018,2022,['Comedy']
Twin Peaks,18,8.5,79000.0,2017,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Neon Genesis Evangelion,26,8.5,92000.0,1995,1996,"['Animation', 'Action', 'Drama', 'Sci-Fi']"
Trailer Park Boys,106,8.5,53000.0,2001,2018,"['Comedy', 'Crime']"
Formula 1: Drive to Survive,60,8.5,53000.0,2019,,"['Documentary', 'Sport']"
Schitt's Creek,80,8.5,154000.0,2015,2020,['Comedy']
Spartacus: Gods of the Arena,6,8.5,148000.0,2011,,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance']"
Brass Eye,7,8.6,12000.0,1997,2001,['Comedy']
Shameless,134,8.5,301000.0,2011,2021,"['Comedy', 'Drama']"
Skam,43,8.6,40000.0,2015,2017,"['Drama', 'Romance']"
Silicon Valley,53,8.5,171000.0,2014,2019,['Comedy']
My Brilliant Friend,34,8.6,20000.0,2018,2024,['Drama']
North & South,4,8.6,36000.0,2004,,"['Drama', 'History', 'Romance', 'War']"
Futurama,180,8.5,267000.0,1999,,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi']"
Rurouni Kenshin: Trust and Betrayal,4,8.6,17000.0,1999,,"['Animation', 'Action', 'Adventure', 'Drama', 'History', 'Romance']"
Fullmetal Alchemist,51,8.5,80000.0,2003,2004,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
The Expanse,62,8.5,178000.0,2015,2022,"['Drama', 'Mystery', 'Sci-Fi']"
Alchemy of Souls,30,8.7,20000.0,2022,,"['Action', 'Drama', 'Fantasy', 'Romance', 'Thriller']"
Doctor Who,175,8.5,253000.0,2005,2022,"['Adventure', 'Drama', 'Sci-Fi']"
Hannibal,39,8.5,285000.0,2013,2015,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
Extraordinary Attorney Woo,16,8.6,30000.0,2022,,['Drama']
Avrupa Yakasi,190,8.6,22000.0,2004,2009,['Comedy']
From the Earth to the Moon,12,8.6,14000.0,1998,,"['Action', 'Drama', 'History', 'Thriller']"
Wentworth,100,8.6,25000.0,2013,2021,"['Crime', 'Drama', 'Thriller']"
Letterkenny,81,8.6,31000.0,2016,2023,['Comedy']
Your Lie in April,24,8.5,41000.0,2014,2015,"['Animation', 'Comedy', 'Drama', 'Music', 'Romance']"
Umbre,21,8.7,12000.0,2014,2019,"['Crime', 'Drama', 'Thriller']"
Foyle's War,28,8.6,19000.0,2002,2015,"['Crime', 'Drama', 'Mystery', 'War']"
Gintama,375,8.7,17000.0,2005,2021,"['Animation', 'Action', 'Comedy', 'Sci-Fi']"
The Great British Baking Show,189,8.6,13000.0,2010,,['Reality-TV']
Community,110,8.5,300000.0,2009,2015,['Comedy']
